state,division,ballotPosition,surname,ballotGivenName,partyBallotName
ACT,Bean,1,CONWAY,Sean,United Australia Party
ACT,Bean,2,AMBARD,Benjamin,Pauline Hanson's One Nation
ACT,Bean,3,SMITH,David,Australian Labor Party
ACT,Bean,4,CHRISTIE,Jamie,Independent
ACT,Bean,5,SAVERY,Kathryn Jane,The Greens
ACT,Bean,6,HIATT,Jane,Liberal
ACT,Canberra,1,SMITH,Catherine,United Australia Party
ACT,Canberra,2,MILES,James,Pauline Hanson's One Nation
ACT,Canberra,3,BOHM,Tim,Independent
ACT,Canberra,4,MINSON,Slade,Liberal
ACT,Canberra,5,HOLLO,Tim,The Greens
ACT,Canberra,6,PAYNE,Alicia,Australian Labor Party
ACT,Fenner,1,LEIGH,Andrew,Australian Labor Party
ACT,Fenner,2,KUSTER,Nathan,Liberal
ACT,Fenner,3,ELTON,Timothy Peter,United Australia Party
ACT,Fenner,4,GRANT,Lucia,Pauline Hanson's One Nation
ACT,Fenner,5,SOJIC,Natasa,The Greens
ACT,Fenner,6,JAKEMAN,Guy,Liberal Democrats
NSW,Banks,1,COLEMAN,David,Liberal
NSW,Banks,2,COCKER,Elouise Ivy,Liberal Democrats
NSW,Banks,3,MOMIRCEVSKI,Marika,United Australia Party
NSW,Banks,4,HANNA,Natalie,The Greens
NSW,Banks,5,KHOUW,Steve,
NSW,Banks,6,HEFFERNAN,Malcolm Phillip,Pauline Hanson's One Nation
NSW,Banks,7,SOON,Zhi,Labor
NSW,Barton,1,BURNEY,Linda,Labor
NSW,Barton,2,HONOS,Dimitri,United Australia Party
NSW,Barton,3,VANDIJK,Taylor,The Greens
NSW,Barton,4,GOODY,John,Liberal
NSW,Barton,5,POLLARD,Phillip,Pauline Hanson's One Nation
NSW,Bennelong,1,AUGUST,John,"FUSION: Science, Pirate, Secular, Climate Emergency"
NSW,Bennelong,2,ADAMS,Tony,The Greens
NSW,Bennelong,3,CAMERON,Dougal,Liberal Democrats
NSW,Bennelong,4,KENNEDY,Simon,Liberal
NSW,Bennelong,5,COLLYER,Rhys Ian,United Australia Party
NSW,Bennelong,6,WATERSON,Victor,Pauline Hanson's One Nation
NSW,Bennelong,7,LAXALE,Jerome,Labor
NSW,Bennelong,8,DHONGDUE,Kyinzom,Democratic Alliance
NSW,Berowra,1,SAMIOS,Nicholas,Liberal Democrats
NSW,Berowra,2,SALITRA,Tania,The Greens
NSW,Berowra,3,BOSMA,Rhiannon,Pauline Hanson's One Nation
NSW,Berowra,4,LEESER,Julian,Liberal
NSW,Berowra,5,CLARKE,Brendan Michael,"FUSION: Science, Pirate, Secular, Climate Emergency"
NSW,Berowra,6,KOSCHINSKI,Benson,Labor
NSW,Berowra,7,LOUIE,David James,Australian Federation Party
NSW,Berowra,8,WOODWARD,Roger,Independent
NSW,Berowra,9,MARTINIC,Christopher,United Australia Party
NSW,Berowra,10,CASWELL,Benjamin,Independent
NSW,Blaxland,1,STEPANOFF,Adam,Pauline Hanson's One Nation
NSW,Blaxland,2,GUNEY,Oz,Liberal
NSW,Blaxland,3,EISLER,Linda,The Greens
NSW,Blaxland,4,CLARE,Jason,Labor
NSW,Blaxland,5,SINOSIC,Elvis,United Australia Party
NSW,Bradfield,1,BOELE,Nicolette,Independent
NSW,Bradfield,2,BRIGDEN,David Gordon,Labor
NSW,Bradfield,3,COUSINS,Martin,The Greens
NSW,Bradfield,4,KITSON,Janine,Independent
NSW,Bradfield,5,FLETCHER,Rob,United Australia Party
NSW,Bradfield,6,FLETCHER,Paul,Liberal
NSW,Bradfield,7,LOWE,Michael,Pauline Hanson's One Nation
NSW,Calare,1,HOOK,Kate,Independent
NSW,Calare,2,WHITTAKER,Stacey,Pauline Hanson's One Nation
NSW,Calare,3,NANKERVIS,Kay,The Greens
NSW,Calare,4,ELLIOTT,Sarah,Labor
NSW,Calare,5,GEE,Andrew,The Nationals
NSW,Calare,6,JANNIS,Adam John,United Australia Party
NSW,Chifley,1,BATISH,Amit,Pauline Hanson's One Nation
NSW,Chifley,2,RASKOV,Zvetanka,United Australia Party
NSW,Chifley,3,KHAN,Ammar,Independent
NSW,Chifley,4,ROUGHLEY,Ben,Liberal Democrats
NSW,Chifley,5,SELVENTHIRAN,Sujan,The Greens
