state,column,ballotPosition,surname,ballotGivenName,groupName,partyBallotName
ACT,A,1,GALLAGHER,Katy,Australian Labor Party,Australian Labor Party
ACT,A,2,NORTHAM,Maddy,Australian Labor Party,Australian Labor Party
ACT,B,1,ANGEL,Joy,Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia Party - Stop Overdevelopment / Corruption
ACT,B,2,HAYDON,John,Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia Party - Stop Overdevelopment / Corruption
ACT,C,1,SAVOULIDIS,James,United Australia Party,United Australia Party
ACT,C,2,PAGE,Tracey,United Australia Party,United Australia Party
ACT,D,1,SESELJA,Zed,Liberal,Liberal
ACT,D,2,LAM,Kacey,Liberal,Liberal
ACT,E,1,POCOCK,David,David Pocock,David Pocock
ACT,E,2,DOUBE,Clare,David Pocock,David Pocock
ACT,F,1,RUBENSTEIN,Kim,Kim for Canberra,Kim for Canberra
ACT,F,2,HUYNH,Kim,Kim for Canberra,Kim for Canberra
ACT,G,1,FAULKNER,Therese,Australian Progressives,Australian Progressives
ACT,G,2,LIN,Stephen,Australian Progressives,Australian Progressives
ACT,H,1,GORENG GORENG,Tjanara,The Greens,The Greens
ACT,H,2,CRUZ,James,The Greens,The Greens
ACT,I,1,KATELARIS,Andrew,Legalise Cannabis Australia,Legalise Cannabis Australia
ACT,I,2,STANVIC,Michelle,Legalise Cannabis Australia,Legalise Cannabis Australia
ACT,J,1,del VALLE,Yana,Animal Justice Party,Animal Justice Party
ACT,J,2,FAHIZ,Jannah,Animal Justice Party,Animal Justice Party
ACT,K,1,SIMMS,Michael,Informed Medical Options Party,Informed Medical Options Party
ACT,K,2,LIDDICOAT,Mary-Jane,Informed Medical Options Party,Informed Medical Options Party
ACT,UG,1,LI,Fuxin,,Independent
NSW,A,1,BROLLO,Darren,Animal Justice Party,Animal Justice Party
NSW,A,2,POWER,Julie,Animal Justice Party,Animal Justice Party
NSW,B,1,KEEN,Steve,TNL,TNL
NSW,B,2,GREEN,Melissa,TNL,TNL
NSW,C,1,LIU,Kingsley,Citizens Party,Citizens Party
NSW,C,2,LAWLER,Ann,Citizens Party,Citizens Party
NSW,D,1,LAMB,Georgia,Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia Party - Stop Overdevelopment / Corruption
NSW,D,2,DE VIVE,Suzanne,Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia Party - Stop Overdevelopment / Corruption
NSW,E,1,SHOEBRIDGE,David,The Greens,The Greens
NSW,E,2,COHN,Amanda,The Greens,The Greens
NSW,E,3,FLOOD,Rochelle,The Greens,The Greens
NSW,E,4,SCOTT,Jane,The Greens,The Greens
NSW,E,5,ARYA,Hawa,The Greens,The Greens
NSW,E,6,WHEELER,Danielle,The Greens,The Greens
NSW,F,1,BODDY,Max,,
NSW,F,2,GRENFELL,Oscar,,
NSW,G,1,PAYNE,Marise,Liberal & Nationals,Liberal
NSW,G,2,CADELL,Ross,Liberal & Nationals,The Nationals
NSW,G,3,MOLAN,Jim,Liberal & Nationals,Liberal
NSW,G,4,PENFOLD,Alison Louise,Liberal & Nationals,The Nationals
NSW,G,5,JARVIS,Mary-Lou,Liberal & Nationals,Liberal
NSW,G,6,McGAHEY,Vicky,Liberal & Nationals,Liberal
NSW,H,1,CARO,Jane,Reason Australia,Reason Australia
NSW,H,2,MAHER,Hannah Kate,Reason Australia,Reason Australia
NSW,H,3,RYALL,Diana,Reason Australia,Reason Australia
NSW,I,1,SANCHEZ,Paula,Socialist Alliance,Socialist Alliance
NSW,I,2,LEKA,Niko,Socialist Alliance,Socialist Alliance
NSW,I,3,EVANS,Rachel,Socialist Alliance,Socialist Alliance
NSW,J,1,JONES,Ross,Federal ICAC Now,Federal ICAC Now
NSW,J,2,ANDERSON,Gabrielle,Federal ICAC Now,Federal ICAC Now
NSW,K,1,BATY,Steven James,Australian Democrats,Australian Democrats
NSW,K,2,ROGERS,Suzanne,Australian Democrats,Australian Democrats
NSW,K,3,RICHARDS,Craig Edward,Australian Democrats,Australian Democrats
NSW,L,1,WHYMAN,Owen Douglas,Indigenous - Aboriginal Party of Australia,Indigenous - Aboriginal Party of Australia
NSW,L,2,BROOKE,Lawrence John,Indigenous - Aboriginal Party of Australia,Indigenous - Aboriginal Party of Australia
NSW,M,1,DJURIC,Shane,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
NSW,M,2,GREGORY,Desiree J,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
NSW,M,3,MILGATE,Brian,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
NSW,M,4,CROOKS,Jeremy,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
NSW,N,1,KOCHER,Dessie,Seniors United Party of Australia,Seniors United Party of Australia
NSW,N,2,BENNIE,Ray,Seniors United Party of Australia,Seniors United Party of Australia
NSW,O,1,O'NEILL,Michael,Informed Medical Options Party,Informed Medical Options Party
NSW,O,2,BURNUM BURNUM,Marelle,Informed Medical Options Party,Informed Medical Options Party
NSW,P,1,HOPKINS,Matthew,The Great Australian Party,The Great Australian Party
NSW,P,2,NOHRA,George,The Great Australian Party,The Great Australian Party
NSW,Q,1,BALDERSTONE,Michael,Legalise Cannabis Australia,Legalise Cannabis Australia
NSW,Q,2,HESTER,Gail,Legalise Cannabis Australia,Legalise Cannabis Australia
NSW,R,1,LEONG,Andrea,"FUSION: Science, Pirate, Secular, Climate Emergency","FUSION: Science, Pirate, Secular, Climate Emergency"
NSW,R,2,BRYCE,Ian R,"FUSION: Science, Pirate, Secular, Climate Emergency","FUSION: Science, Pirate, Secular, Climate Emergency"
NSW,S,1,McCULLOCH,Kate,Pauline Hanson's One Nation,Pauline Hanson's One Nation
NSW,S,2,GRIGG,Colin,Pauline Hanson's One Nation,Pauline Hanson's One Nation
NSW,S,3,SMITH,Roger,Pauline Hanson's One Nation,Pauline Hanson's One Nation
NSW,T,1,RUDDICK,John,Liberal Democrats,Liberal Democrats
NSW,T,2,LARTER,John,Liberal Democrats,Liberal Democrats
NSW,T,3,CALDWELL,James Arthur,Liberal Democrats,Liberal Democrats
NSW,T,4,GUEST,Mark Antony,Liberal Democrats,Liberal Democrats
NSW,U,1,CLANCY,Selena,Australian Values Party,Australian Values Party
NSW,U,2,GILBERT,Dave,Australian Values Party,Australian Values Party
NSW,V,1,O'NEILL,Deborah,Labor,Labor
NSW,V,2,McALLISTER,Jenny,Labor,Labor
NSW,V,3,MORRIS,Shireen,Labor,Labor
NSW,V,4,MYERS,Mich-Elle Elizabeth,Labor,Labor
NSW,V,5,ROSE,Kylie Anne,Labor,Labor
NSW,V,6,WARREN-SMITH,James,Labor,Labor
NSW,W,1,MARTINO,Domenic Vincent,United Australia Party,United Australia Party
NSW,W,2,WRIGHTSON,Suellen,United Australia Party,United Australia Party
NSW,W,3,MOORE,Wayne Leslie,United Australia Party,United Australia Party
NSW,W,4,MARTIN,Michelle,United Australia Party,United Australia Party
NSW,W,5,YAP,Johnny,United Australia Party,United Australia Party
